('号楼', 1.005423885396888)
('单元', 0.991080069204797)
('街道', 0.5133380938193773)
('号院', 0.3185763495894513)
('北新桥', 0.2815873268465302)
('东四', 0.272267917617529)
('胡同', 0.2660233261320261)
('交道口', 0.2402770966884792)
('东城区', 0.2206617399286184)
('危改', 0.17743276720634676)
('民安', 0.17669742465833094)
('豆瓣', 0.14823357132371365)
('16', 0.14353439926557696)
('小区', 0.14309901685153134)
('东大街', 0.13974866614886294)
('朝阳门', 0.13682296922941403)
('东直门', 0.12376656936977888)
('南小街', 0.1169575900952517)
('12', 0.0925587678785755)
('10', 0.0905094962650277)
